product_no,brand,category,link,price,description,seller_id,name,image_link
1,Fifine,Для стрима,https://www.ozon.ru/product/mikrofon-igrovoy-dlya-striminga-fifine-ampligame-a6v-black-chernyy-417793676/,4990,"Тип : Микрофон
Технология микрофона : Конденсаторный
Интерфейсы и разъемы : USB 2.0, USB Type-C
Крепление микрофона : Настольный
Диаграмма направленности : Кардиоида
Подключение : Проводное
Вид микрофона : игровой (для стриминга)
Особенности : Подсветка, Гибкая ножка
Гарантийный срок : 6 месяцев
Партномер : A6V
",81744,"Микрофон игровой (для стриминга) Fifine AmpliGame A6V, Black, черный",https://cdn1.ozone.ru/s3/multimedia-v/6168766087.jpg
2,"",Чехлы для плееров и аудиосистем,https://www.ozon.ru/product/sumka-keys-dlya-hraneniya-portativnoy-blyutuz-kolonki-jbl-pulse-4-dorozhnaya-sumka-dlya-462670217/,2023,"Тип : Чехол для портативной АС
Материал : Текстиль
Внешние размеры, мм : 300
Размеры основного отделения, мм : 220
Цвет : Черный
Вес товара, г : 230
Гарантийный срок : 6 месяцев
Страна-изготовитель : Китай
",193106,Сумка (кейс) для хранения портативной (блютуз) колонки  JBL Pulse 4 / Дорожная сумка для переноски JBL Pulse 4,https://cdn1.ozone.ru/s3/multimedia-s/6224695216.jpg
3,zKissfashion,Микрофонные стойки,https://www.ozon.ru/product/stoyka-dlya-mikrofona-derzhatel-dlya-mikrofona-pantograf-aksessuar-dlya-mikrofona-nastolnaya-stoyka-536200629/,644,"Тип : Микрофонная стойка
Партномер : 111
Цвет : Черный
Вес товара, г : 400
Страна-изготовитель : Китай
",369734,Стойка для микрофона/Держатель для микрофона/Пантограф/Аксессуар для микрофона//Настольная стойка ,https://cdn1.ozone.ru/s3/multimedia-s/6291543976.jpg
4,OutinLight,Петличные,https://www.ozon.ru/product/mikrofon-petlichnyy-outinlight-petlichnyy-besprovodnoy-na-ayfon-dlya-iphone-chernyy-563893517/,2149,"Тип : Микрофон
Технология микрофона : Конденсаторный
Интерфейсы и разъемы : Apple Lightning
Крепление микрофона : Петличный
Диаграмма направленности : Всенаправленная
Подключение : Беспроводное
Вид микрофона : петличный
Гарантийный срок : 14
Партномер : GL126
Цвет : Черный
",236689,"Микрофон петличный OutinLight петличный беспроводной на айфон, для iphone, черный",https://cdn1.ozone.ru/s3/multimedia-h/6308645117.jpg
5,Haff,Системные блоки,https://www.ozon.ru/product/sistemnyy-blok-haff-gaming-middle-new-balance-3070-m1-bez-os-intel-core-i5-11400f-2-6-ggts-ram-32-gb-572622373/,135405,"Процессор : Intel Core i5-11400F (2.6 ГГц)
Оперативная память : 32 ГБ
Общий объем SSD, ГБ : 480
Общий объем HDD, ГБ : 1000
Видеокарта : NVIDIA GeForce RTX 3070 (8 Гб)
Тип памяти : DDR4
Число ядер процессора : 6
Тип видеокарты : Дискретная
Гарантийный срок : 24 месяца
Видеопамять : 8 ГБ
",264145,"Системный блок Haff Gaming Middle New Balance 3070 M1 Без ОС (Intel Core i5-11400F (2.6 ГГц), RAM 32 ГБ, SSD 480 ГБ, HDD 1000 ГБ, NVIDIA GeForce RTX 3070 (8 Гб), )",https://cdn1.ozone.ru/s3/multimedia-k/6303435812.jpg
6,Nux,Усилители для наушников,https://www.ozon.ru/product/modeliruyushchiy-gitarnyy-multi-effekt-gitarnyy-mini-usilitel-nux-cherub-gp-1-nux-307684884/,1940,"Тип : Усилитель для наушников
Партномер : GP-1
Цвет : Черный
",127516,"Моделирующий гитарный мульти-эффект, гитарный мини усилитель, Nux Cherub GP-1-NUX",https://cdn1.ozone.ru/s3/multimedia-a/6150464026.jpg
7,"",MP3-плееры,https://www.ozon.ru/product/mp3-pleer-digma-b4-8gb-siniy-222686258/,2661,"Тип : MP3 плеер
Объем встроенной памяти : 8 ГБ
Форматы аудио : MP3, WMA, WAV
FM-радио : есть
Функции : Диктофон, Просмотр изображений
Регулировки звука : Эквалайзер, Громкость воспроизведения
Вес товара, г : 26
Питание : От аккумулятора
Цвет : Синий
Тип карты памяти : microSD
",9577,"MP3 плеер Digma B4 8Gb, синий",https://cdn1.ozone.ru/s3/multimedia-g/6040332652.jpg
8,Trust,Для стрима,https://www.ozon.ru/product/mikrofon-igrovoy-universalnyy-trust-gxt215-zabi-dlya-kompyutera-studiynyy-igrovoy-dlya-strima-280488237/,990,"Тип : Микрофон
Технология микрофона : Динамический
Интерфейсы и разъемы : USB 2.0
Диаграмма направленности : Всенаправленная
Подключение : Проводное
Вид микрофона : игровой (для стриминга)
Гарантийный срок : 2 года
Партномер : 23800
Цвет : Черный
Размеры, мм : 300х115х125
",6712,"Микрофон игровой (для стриминга) Trust GXT215 ZABI / для компьютера / Студийный игровой, для стрима с подсветкой, черный",https://cdn1.ozone.ru/s3/multimedia-i/6071053254.jpg
9,Recording the Masters,Аудиокассеты и видеокассеты,https://www.ozon.ru/product/katushka-rtm-r39603-267mm-6-3mm-metal-nab-black-v-korobke-510361046/,8091,"Тип : Аудиокассета
Страна-изготовитель : Франция
",174173,Катушка RTM R39603 267мм 6.3мм Metal NAB Black в коробке,https://cdn1.ozone.ru/s3/multimedia-s/6263387224.jpg
10,Robotcomp,Системные блоки,https://www.ozon.ru/product/sistemnyy-blok-robotcomp-fun-v1-amd-ryzen-3-2100ge-3-2-ggts-ram-16-gb-ssd-240-gb-amd-radeon-vega-3-501447824/,35890,"Процессор : AMD Ryzen 3 2100GE (3.2 ГГц)
Оперативная память : 16 ГБ
Общий объем SSD, ГБ : 240
Видеокарта : AMD Radeon Vega 3
Тип памяти : DDR4
Число ядер процессора : 2
Тип видеокарты : Встроенная
Оптический привод : Отсутствует
Гарантийный срок : 3 Года
Частота процессора, ГГц : 3.2
",2756,"Системный блок Robotcomp Fun V1 (AMD Ryzen 3 2100GE (3.2 ГГц), RAM 16 ГБ, SSD 240 ГБ, AMD Radeon Vega 3, )",https://cdn1.ozone.ru/s3/multimedia-u/6258969810.jpg
39,"",Окуляры,https://www.ozon.ru/product/okulyar-deep-sky-plessl-4-mm-1-25-547337817/,2430,"Тип : Окуляр
",361663,"Окуляр Deep Sky Плессл 4 мм 1,25""",https://cdn1.ozone.ru/s3/multimedia-2/6286957406.jpg
11,iBasso,Усилители для наушников,https://www.ozon.ru/product/usilitel-naushnikov-ibasso-dc05-dc04-type-c-to-3-54-4-mm-544653770/,4630,"Тип : Усилитель для наушников
Конфигурация звука : Stereo
Декодеры : Dolby True HD
ЦАП : 2x CS43131 Cirrus Logic
Разрядность ЦАП : 32 бит
Частота дискретизации ЦАП, кГц : 384
Отношение сигнал/шум, дБ : 121
Гарантийный срок : 1年
Партномер : 01
Цвет : Черный
",408260,"Усилитель наушников iBasso DC05 DC04 Type-C to 3.54,4 мм",https://cdn1.ozone.ru/s3/multimedia-s/6286491232.jpg
12,"",CD проигрыватели и плееры,https://www.ozon.ru/product/nastennyy-proigryvatel-kompakt-diskov-obemnyy-zvuk-fm-radio-bluetooth-usb-mp3-cd-538290012/,3616,"Тип : CD-проигрыватель
Цвет : Белый
Гарантийный срок : 14 дней
",258556,Настенный проигрыватель компакт-дисков Объемный звук FM-радио Bluetooth USB MP3 CD музыкальный домашний пульт дистанционного управления стереодинамики,https://cdn1.ozone.ru/s3/multimedia-9/6099038745.jpg
13,Eltronic,MP3-плееры,https://www.ozon.ru/product/pleer-mp3-eltronic-m11-geometriya-zelenyy-zelenyy-562824414/,392,"Тип : MP3 плеер
Цвет : Зеленый
Артикул : 508431116
Партномер : M11
",368851,Плеер MP3 Eltronic M11 геометрия зеленый (зеленый),https://cdn1.ozone.ru/s3/multimedia-i/6303273378.jpg
14,SDRD,Для вокала и караоке,https://www.ozon.ru/product/mikrofon-dlya-zhivogo-vokala-sdrd-k5-rs-rozovyy-303619408/,1390,"Тип : Микрофон
Технология микрофона : Динамический
Интерфейсы и разъемы : 3.5 мм, microUSB
Подключение : Беспроводное
Вид микрофона : для живого вокала
Особенности : Регулятор реверберации, Регулятор громкости
Гарантийный срок : 6 месяцев
Партномер : 12359
Цвет : Розовый
Вес товара, г : 220
",126383,"Микрофон для живого вокала SDRD K5-RS, розовый",https://cdn1.ozone.ru/s3/multimedia-1/6323789725.jpg
